transaction_id,cust_id,tran_date,prod_subcat_code,prod_cat_code,Qty,Rate,Tax,total_amt,Store_type,prod_cat,prod_subcat,DOB,Gender,city_code,calculated_revenue,customer_age
29258453508,270384,,5,3,5,1497,785.925,8270.925,e-Shop,Electronics,Computers,,F,8.0,7485,
25455265351,267750,,12,6,3,1360,428.4,4508.4,e-Shop,Home and kitchen,Tools,,M,1.0,4080,
1571002198,275023,,6,5,4,587,246.54,2594.54,e-Shop,Books,DIY,,M,6.0,2348,
36554696014,269345,,3,5,3,1253,394.695,4153.695,e-Shop,Books,Comics,,F,10.0,3759,
56814940239,268799,,7,5,5,368,193.2,2033.2,e-Shop,Books,Fiction,,M,9.0,1840,
54295803788,270787,,12,5,5,584,306.6,3226.6,e-Shop,Books,Academic,,F,6.0,2920,
25963520987,274829,,4,4,3,502,158.13,1664.13,Flagship store,Bags,Women,,F,2.0,1506,
17183929085,266863,,1,2,1,1359,142.695,1501.695,TeleShop,Footwear,Mens,,M,6.0,1359,
44783317894,269452,,3,1,3,825,259.875,2734.875,TeleShop,Clothing,Kids,,F,2.0,2475,
58957828601,269009,,11,5,4,846,355.32,3739.32,TeleShop,Books,Children,,M,2.0,3384,
9647515879,268934,,7,5,3,1384,435.96,4587.96,TeleShop,Books,Fiction,,F,7.0,4152,
20781077773,269223,,5,3,3,1203,378.945,3987.945,TeleShop,Electronics,Computers,,F,6.0,3609,
91116291703,268509,,1,2,4,1243,522.06,5494.06,MBR,Footwear,Mens,,M,10.0,4972,
68325723297,268516,,9,3,1,877,92.085,969.085,e-Shop,Electronics,Cameras,,F,10.0,877,
73235813024,268774,,3,5,1,76,7.98,83.98,TeleShop,Books,Comics,,F,2.0,76,
80712190438,270351,,1,1,5,772,405.3,4265.3,e-Shop,Clothing,Women,,M,5.0,3860,
66989395597,272785,,10,3,2,474,99.54,1047.54,TeleShop,Electronics,Audio and video,,M,7.0,948,
99581788104,267466,,3,2,1,96,10.08,106.08,Flagship store,Footwear,Women,,F,7.0,96,
